"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","W jakiej branży pracujesz?","Jakie stanowisko zajmujesz?","Gdzie mieszkasz?","Czy mieszkasz w Polsce, czy za granicą?","Jak korzystasz z „Więzi”? ","Czy jesteś Prenumeratorką/Prenumeratorem „Więzi”?","Co by Cię zachęciło do prenumeraty? ","Z jakiego rodzaju prenumeraty korzystasz?","Jeśli prenumerujesz „Więź”, szczególnie wspierasz naszą działalność. Co Cię do tego skłania?","Od jak dawna sięgasz po kwartalnik „Więź”?","Jak często odwiedzasz Więź.pl?","Należysz do grona Patronów i Darczyńców „Więzi”? Jeśli tak, napisz w kilku słowach, dlaczego wspierasz naszą działalność.","Skąd dowiedziałaś/dowiedziałeś się o „Więzi” – piśmie lub portalu?","Sięgasz po nasz kwartalnik lub czytasz nasz portal, bo „Więź”… (wybierz 1-3 odpowiedzi)","Co najchętniej czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czego nie czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czy czytasz treści dostępne tylko na Więź.pl (niepochodzące z kwartalnika)?","Dlaczego? ","Jaką kategorię treści najczęściej czytasz na Więź.pl?","Które z tematów obecnych na Więź.pl są dla Ciebie samej/samego najważniejsze (wybierz 1-5 odpowiedzi)?","Jakiego rodzaju tekstów (gatunki dziennikarskie) chcesz czytać więcej na Więź.pl (wybierz 1-3 odpowiedzi)? ","Na jakie tematy według Ciebie piszemy na Więź.pl za mało (wybierz 1-3 odpowiedzi)?","Jakich treści brakuje Ci na Więź.pl? ","W których mediach społecznościowych obserwujesz „Więź”?","Na których platformach Twoim zdaniem brakuje „Więzi""?","Zaznacz w skali od 1 do 10, gdzie 0 oznacza decydowanie nie, a 10 zdecydowanie tak.","Czy słuchasz regularnie podcastów?","Jakich podcastów słuchasz regularnie?","Czy subskrybujesz kanały na YouTube?","Jeśli tak, jakie to kanały?","Jakie są Twoje ulubione profile, które obserwujesz na Facebooku?","Jeśli masz jakieś sugestie lub uwagi, to prosimy podziel się nimi tutaj."
"2021/12/11 10:40:37 AM CET","Kobieta","36-50","Wyższe","Prawo","Właściciel/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Tak i wspieram „Więź” poprzez Patronite","","Rocznej prenumeraty druk + cyfra","Chcę aby myślenie chrześcijańskie było stałym mocnym nurtem ","Od 2-3 lat","Kilka razy w miesiącu","Z tego samego powodu dla którego prenumeruję.  Aby chrześcijańskie myślenie miało się dobrze i mogło docierać do ludzi w przestrzeni publicznej","Wróciłam do pisma, które kiedyś kupowała moja mama","Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Dział „Otwarta ortodoksja”;Dyskusje redakcyjne;Felieton Jerzego Sosnowskiego","Czytam od deski do deski","Nie","","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Migracje, uchodźcy;Papież Franciszek","Publicystka historyczna;Publicystyka religijna;Publicystyka zagraniczna","Filozofia;Inne religie;Literatura","","Facebook","","10","Nie","","Nie","","",""
"2021/12/11 10:52:51 AM CET","Kobieta","36-50","Wyższe","Edukacja","Właściciel/ka","Miasto powyżej 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak i wspieram „Więź” poprzez Patronite","","Rocznej prenumeraty cyfrowej","tematyka religijno-społeczna, artykuły nt. kultury, reportaże red. Zbigniewa Nosowskiego dot. przejrzystości Kościoła oraz rozumienie Kościoła i podejście do niego prezentowane na łamach ""Więzi"" ","Od 3-5 lat","Kilka razy w miesiącu","jest mi bliskie spojrzenie na Kościół, jakie reprezentuje środowisko ""Więzi"", to dla mnie ważny głos w polskim Kościele, chcę go wspierać","Od bliskich/przyjaciół","Opisuje świat z perspektywy chrześcijańskiej;To „moje pismo” / „mój portal”;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Kulturalny temat numeru;Felieton Michała Zioły;Recenzje książek","Czytam od deski do deski","Tak","","Wiara","Ewangelia;Kryzys Kościoła;Książka;Poezja;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wywiad","Inne religie","","Facebook","","9","Tak","Raport o stanie świata, Też odchodzę, Skądinąd, Pismo, SpoilerMaster, Nowy Tygodnik Kultralny, Feminist Survival Podcast i inne","Tak","Fundacja Theosis, Dominikanie, Tomasz Raczek, uBOGAcONA","uBOGAcONA, Agnieszka PP, Wydawnictwo Pauza","Keep up the good work! (przepraszam, że po angielsku, ale idealnie pasuje!)"
"2021/12/11 10:59:44 AM CET","Kobieta","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Nie, ale regularnie kupuje „Więź”","","","","","","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Dział „Dzieci Abrahama”;Felieton Jerzego Sosnowskiego","Czytam od deski do deski","Tak","Czasami bywają ciekawe","Wiara","Ewangelia;Książka;Papież Franciszek;Sztuka;Wiara","Publicystyka religijna;Wiadomości z Kościoła;Wywiad","Duchowość;Edukacja;Teologia","","Facebook","","10","Nie","","Tak","historyczne, edukacyjne","Andrzej Draguła",""
"2021/12/11 11:26:14 AM CET","Mężczyzna","36-50","Wyższe","IT","Starszy/a specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","","","","","","Bo tak trzeba","Nie pamietam, Więź zawsze była","Jest wiarygodna i rzetelna;Jest tytułem, z którym jestem związana/związany od lat;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Felieton „Ksiądz z kobietą w kinie”;Felieton Jerzego Sosnowskiego","Czytam od deski do deski","Tak","","Wiadomości","Dialog;Ewangelia;Kryzys Kościoła;Książka;Pedofilia w Kościele","Publicystka historyczna;Publicystyka religijna;Wiadomości z Kościoła","Edukacja;Gospodarka;Technologie","","Facebook","","10","Nie","","Nie","","",""
"2021/12/11 11:42:28 AM CET","Kobieta","51-65","Wyższe","Nauka i szkolnictwo wyższe","Starszy/a specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","Doskonałe treści, wizja Kościoła i otaczającej nas rzeczywistości, kultura słowa, dobór autorów","","","","","Z powodów dla których czytam Więź. To jedno z najlepszych pism w Polsce, o wysokim poziomie merytorycznym, dużej kulturze, też kulturze słowa. Odpowiada mi sposób w jaki pisze się tu o wierze i Kościele, o Polsce i świecie, o najważniejszych problemach naszej rzeczywistości. Bardzo cenię piszących tu autorów a także brak agresji zarówno w publikowanych tekstach jak i, zazwyczaj, w dyskusjach. ","Trudno powiedzieć, wiem o nim od dawna. Systematycznie zaczęłam czytać dzięki Laboratorium Więzi online","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dział „Otwarta ortodoksja”","Nie ma rzeczy których nie czytam z zasady, przeglądam każdy numer, wybieram to co mnie interesuje","Tak","Więź.pl śledzę na bieżąco","Wiara","Demokracja;Dialog;Kryzys Kościoła;Polityka;Wiara","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna;Reportaż","Inne religie;Teologia;Świat, prawa człowieka","Dotyczących Europy Zachodniej i Wschodniej","Facebook","","10","Nie","","Tak","M.in. Kanały dominikańskie, Reset Obywatelski, Obywatele.news, liczne kanały dotyczące Białorusi","M.in. Biełsat i inne profile białoruskie, Obywatele.news, Duży pokój, Fundacja Batorego, Jeżurkowo i PPN i in.",""
"2021/12/11 11:57:20 AM CET","Mężczyzna","36-50","Wyższe","Posługa w Kościele ","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Nie zastanawiałem się nad tym. ","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Publikuje pogłębione i przystępne teksty","Religijny temat numeru;Kulturalny temat numeru;Dział Historia","Felieton Jakuba Wygnańskiego;Felieton Michała Zioły;Felieton Jerzego Sosnowskiego","Tak","Mam łatwiejszy dostęp. ","Wiara","Biskupi;Ewangelia;Film;Historia;Kryzys Kościoła","Publicystka historyczna;Publicystyka religijna;Wiadomości kulturalne","Duchowość;Inne religie;Teologia","Przystępnych artykułów z dziedziny teologii i historii dogmatów. ","Na żadnym z wymienionych","Nie mam zdania. ","7","Nie","Nie słucham. ","Nie","Nie subskrybuję. ","Nie posiadam konta na Facebooku. ","Pozdrawiam serdecznie i mam nadzieję, że w czymś Państwu pomogłem. "
"2021/12/11 12:09:23 PM CET","Kobieta","26-35","Wyższe","Edukacja","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Od bliskich/przyjaciół","Jestem ciekawa, jakie treści publikuje portal, który związany jest z moim środowiskiem. ","Religijny temat numeru;Kulturalny temat numeru;Recenzje książek","Dział „Dzieci Abrahama”","Tak","","","Ewangelia;Kultura;Książka;Literatura;Wiara","Publicystka historyczna;Publicystyka kulturalna;Reportaż","Duchowość;Literatura;Sztuka","","Facebook","","5","Tak","","Tak","","","Niestety więź nie do końca mogę uznać za medium katolickie..."
"2021/12/11 12:17:17 PM CET","Mężczyzna","51-65","Średnie","Transport","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Zbyt duża oferta na rynku, aby zdecydować się na jedno wydawnictw. Znak, Tygodnik Powszechny, regularne transmisję na żywo, Deon i inneDeon","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dyskusje redakcyjne;Felieton Jerzego Sosnowskiego","Nie potrafię wybrać","Nie","Jeśli temat już poznałem wcześniej na innym portalu, to odpuszczam na Więzi.","Społeczeństwo","Biskupi;Demokracja;Dialog;Kryzys Kościoła;Papież Franciszek","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła;Wywiad","Edukacja","","Facebook;YouTube","","8","Tak","Deon Red. Terlikowski i inne dostępne bez opłat.","Tak","Kościół Środowisk Twórczych w Warszawie","Więź jest jednym z nich ale TP, Znak, Kontakt, ",""
"2021/12/11 12:25:26 PM CET","Kobieta","36-50","Wyższe","Edukacja","Właściciel/ka","Miasto powyżej 500 tys.","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp)","Nie, ale wspieram „Więź” poprzez Patronite","","","","","","Uważam, że piblikujecie teksty warte czytania oraz porównując z innymi czasopismami przy czytaniu Waszych artykułów mam wrażenie obiektywizmu. Poruszane tematy też są dla mnie ciekawe. ","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Kulturalny temat numeru;Dział „Czytanie świata”;Dział „Z drugiej strony Bugu”;Dział Historia;Dyskusje redakcyjne;Recenzje książek","Religijny temat numeru;Dział „Dzieci Abrahama”","Nie","Nie do końca rozumiem, czego dotyczy pytanie ;) Nie jestem zainteresowana treściami religijnymi zazwyczaj, gdyż jestem agnostyczką.  ","Społeczeństwo","Kultura;LGBT;Migracje, uchodźcy;Polityka;Unia Europejska","Publicystyka społeczno-polityczna;Publicystyka zagraniczna;Wiadomości kulturalne;Wiadomości z kraju;Wiadomości ze świata","","","Facebook","","10","Nie","","Tak","Naukowe, historyczne","Crazy nauka, MLH, Dział zagraniczny, to tylko teoria",""
"2021/12/11 12:36:54 PM CET","Mężczyzna","36-50","Wyższe","Administracja, księgowość i kadry","Specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Niższa cena.","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Dział Historia","Społeczny temat numeru;Kulturalny temat numeru;Dział „Dziedziniec dialogu”;Felieton Jerzego Sosnowskiego","Tak","","Wiadomości","Antysemityzm;Biskupi;Demokracja;Kryzys Kościoła;LGBT;Pedofilia w Kościele;Polityka;Sztuka;Wiara","Publicystka historyczna;Publicystyka religijna;Wiadomości z Kościoła","Kościół","Liturgia kościołów.","Facebook","","8","Tak","","Tak","","","W Więzi.pl jest zdecydowanie za dużo tekstów o migrantach. I niestety nie są to teksty zdroworozsądkowe."
"2021/12/11 12:39:45 PM CET","Kobieta","51-65","Wyższe","Edukacja","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp)","Nie, ale wspieram „Więź” poprzez Patronite","nie planuję","","","","","Cenne, czasem bezcenne czytanie znaków czasu na niewzruszonym fundamencie Dobrej Nowiny oraz świetny język, polemiki wolne od zacietrzewienia i manipulacji. ","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;To „moje pismo” / „mój portal”","Społeczny temat numeru;Kulturalny temat numeru;Dział „Dziedziniec dialogu”","nie ma stałego kryterium odrzucenia lub wyboru","Tak","dostępne tylko na Więź.pl","Społeczeństwo","Demokracja;Dialog;Ewangelia","Publicystyka religijna;Publicystyka kulturalna;Wywiad","nie widzę takich tematów","j.w.","Facebook","nie mam zdania","10","Tak","m.in. Moniki Białkowskiej, Agaty Rujner, z innej przestrzeni - M.SzczygłaT.Raczkaomasza Raczka","Tak","Projekt Przebudzenie, Reportaż z wycinków...,Prawie morały, Karetka w drodze, A myśmy się spodziewali i in.","m.in. Niezła Sztuka, EDU - klaster, WLD, ",""
"2021/12/11 12:42:37 PM CET","Kobieta","36-50","Wyższe","Administracja, księgowość i kadry","Młodszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Czytam różne strony i gazety i tak wyrabiam sobie zdanie - plus to co sama myślę - oczywiście. Nie korzystam z prenumerat.","","","","","","znalazł mnie parę lat temu algorytm ;), chyba dzięki hasłom wpisywanym - podpowiadał .in. tę stronę (jeszcze dawną wersję)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Dział „Dzieci Abrahama”;Dział „Dziedziniec dialogu”","Felieton „Ksiądz z kobietą w kinie”;Recenzje książek","Tak","Obecnie, kiedy nie mam dostępu do czytelni czytam tylko Wieź.pl","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Żydzi","Jak dla mnie jest w porządku proporcja.","Mogę zaznaczyć technologie, ale nie oczekuję tego od Więzi","Jak dla mnie informacje są w dobrych proporcjach","Facebook","nie wiem","10","Nie","","Nie","","Na razie jeden ","Dla mnie Więź.pl jest miejscem gdzie chętnie zaglądam, kiedy chcę poczytać rzetelne informacje o Kościele, zdaję sobie sprawę, że to też jakiś rodzaj bańki, niemniej polecam tę stronę jako przykład dobrego dziennikarstwa."
